Description,Allen Bradley PowerFlex VFD Parameter,Allen Bradley Units,Allen Bradley Value,Mitsubishi Parameter,Mitsubishi Units,Mitsubishi Value
MOTOR NP VOLTS,P031,V,480,83,V,480
MOTOR NP HZ,P032,Hz,60,84,Hz,60
MOTOR OL CURRENT,P033,A,10,9,A,5
MOTOR NP FLA,P034,A,5,9,A,5
MOTOR NP POLES,P035,Poles,40,81,Poles,40
MOTOR NP RPM,P036,RPM,180,N/A,N/A,N/A
MOTOR NP POWER,P037,kW,2.3,80,kW,2.3
VOLTAGE CLASS,P038,V,480,83,V,480
TORQUE PERF MODE,P039,,4,N/A,N/A,N/A
AUTOTUNE,P040,N/A,2,96,N/A,1
ACCEL TIME1,P041,S,0.3,7,S,0.3
DECEL TIME1,P042,S,0.3,8,S,0.3
MIN FREQ,P043,Hz,0,2,Hz,0
MAX FREQ,P043,Hz,120,1,Hz,120
SAFETY PIN I EVEL,A486,N/A,5,N/A,N/A,N/A
SAFETY PIN 1 TIME,A487,S,10,N/A,N/A,N/A
SAFETY PIN 2 EVEL,A488,N/A,10,N/A,N/A,N/A
SAFETY PIN 3 TIME,A489,S,3,N/A,N/A,N/A
PN IR VOLTAGE,A501,V,26.5,90,ohms,3.059956427
PM IXD VOLTAGE,A502,V,15,92,mH,7.957747155
PM IXQ VOLTAGE,A503,V,25.8,93,mH,13.68732511
PM BEMF VOLTAGE,A504,V,243.6,??,V,243.6
MOTOR FDBK TYPE,A516,N/A,0,800,N/A,10
